Date,Open,High,Low,Close,Adj Close,Volume
2022-12-28,1.063717,1.067430,1.061391,1.063717,1.063717,0
2022-12-29,1.062925,1.067019,1.061233,1.062925,1.062925,0
2022-12-30,1.066075,1.069793,1.063920,1.066075,1.066075,0
2023-01-02,1.070973,1.071237,1.065326,1.070973,1.070973,0
2023-01-03,1.067771,1.068262,1.052155,1.067771,1.067771,0
2023-01-04,1.054685,1.063151,1.054596,1.054685,1.054685,0
2023-01-05,1.060637,1.063264,1.051558,1.060637,1.060637,0
2023-01-06,1.052222,1.062225,1.048526,1.052222,1.052222,0
2023-01-09,1.065632,1.075951,1.065280,1.065632,1.065632,0
2023-01-10,1.073318,1.075685,1.071318,1.073318,1.073318,0
2023-01-11,1.073895,1.077470,1.072685,1.073895,1.073895,0
2023-01-12,1.076600,1.083835,1.073802,1.076600,1.076600,0
2023-01-13,1.086024,1.086779,1.078063,1.086024,1.086024,0
2023-01-16,1.082462,1.087548,1.080264,1.082462,1.082462,0
2023-01-17,1.083013,1.086909,1.078702,1.083013,1.083013,0
2023-01-18,1.079331,1.088447,1.076704,1.079331,1.079331,0
2023-01-19,1.079785,1.083306,1.078295,1.079785,1.079785,0
2023-01-20,1.083388,1.085658,1.080462,1.083388,1.083388,0
2023-01-23,1.086472,1.091953,1.084752,1.086508,1.086508,0
2023-01-24,1.087429,1.089681,1.083929,1.087429,1.087429,0
2023-01-25,1.088815,1.092263,1.085812,1.088815,1.088815,0
2023-01-26,1.092204,1.093255,1.085164,1.092204,1.092204,0
2023-01-27,1.089443,1.090156,1.083882,1.089443,1.089443,0
2023-01-30,1.087146,1.091501,1.085458,1.087146,1.087146,0
2023-01-31,1.085069,1.086838,1.080415,1.085069,1.085069,0
2023-02-01,1.086095,1.092443,1.085293,1.086095,1.086095,0
2023-02-02,1.101285,1.102657,1.088767,1.101285,1.101285,0
2023-02-03,1.090513,1.094068,1.081105,1.090513,1.090513,0
2023-02-06,1.079086,1.080030,1.071834,1.079086,1.079086,0
2023-02-07,1.073076,1.074600,1.066951,1.073076,1.073076,0
2023-02-08,1.072973,1.076021,1.071685,1.072973,1.072973,0
2023-02-09,1.071582,1.079040,1.071157,1.071582,1.071582,0
2023-02-10,1.074229,1.075176,1.066928,1.074229,1.074229,0
2023-02-13,1.067771,1.072501,1.065723,1.067771,1.067771,0
2023-02-14,1.073042,1.079844,1.070996,1.073042,1.073042,0
2023-02-15,1.073572,1.074460,1.066598,1.073572,1.073572,0
2023-02-16,1.069176,1.072225,1.065575,1.069176,1.069176,0
2023-02-17,1.066576,1.068148,1.061380,1.066576,1.066576,0
2023-02-20,1.068444,1.070549,1.067156,1.068444,1.068444,0
2023-02-21,1.068262,1.069564,1.064487,1.068262,1.068262,0
2023-02-22,1.065201,1.066553,1.061909,1.065201,1.065201,0
2023-02-23,1.060580,1.063038,1.058201,1.060580,1.060580,0
2023-02-24,1.059805,1.061425,1.053774,1.059805,1.059805,0
2023-02-27,1.055476,1.061864,1.053352,1.055476,1.055476,0
2023-02-28,1.061121,1.064500,1.058235,1.061121,1.061121,0
2023-03-01,1.057731,1.069107,1.056569,1.057731,1.057731,0
2023-03-02,1.066894,1.067270,1.058347,1.066894,1.066894,0
2023-03-03,1.059973,1.062925,1.059131,1.059973,1.059973,0
2023-03-06,1.062620,1.069381,1.062304,1.062620,1.062620,0
2023-03-07,1.068833,1.069633,1.057161,1.068833,1.068833,0
2023-03-08,1.055075,1.057328,1.052665,1.055075,1.055075,0
2023-03-09,1.054953,1.058649,1.053852,1.054953,1.054953,0
2023-03-10,1.058470,1.069862,1.057574,1.058470,1.058470,0
2023-03-13,1.068365,1.073722,1.065235,1.068365,1.068365,0
2023-03-14,1.072501,1.074714,1.067965,1.072501,1.072501,0
2023-03-15,1.072766,1.076009,1.052034,1.072766,1.072766,0
2023-03-16,1.058335,1.063456,1.055509,1.058335,1.058335,0
2023-03-17,1.061413,1.066963,1.061211,1.061413,1.061413,0
2023-03-20,1.067886,1.073053,1.063242,1.067886,1.067886,0
2023-03-21,1.071915,1.078725,1.070492,1.071915,1.071915,0
2023-03-22,1.077424,1.080147,1.075951,1.077424,1.077424,0
2023-03-23,1.087039,1.092900,1.086862,1.087039,1.087039,0
2023-03-24,1.083506,1.083900,1.071892,1.083506,1.083506,0
2023-03-27,1.077819,1.079600,1.074807,1.077819,1.077819,0
2023-03-28,1.080707,1.084900,1.080404,1.080707,1.080707,0
2023-03-29,1.083952,1.087200,1.082134,1.083952,1.083952,0
2023-03-30,1.084363,1.092395,1.082696,1.084363,1.084363,0
2023-03-31,1.090465,1.092586,1.086059,1.090465,1.090465,0
2023-04-03,1.080334,1.091572,1.078935,1.080334,1.080334,0
2023-04-04,1.091227,1.097165,1.088388,1.091227,1.091227,0
2023-04-05,1.096011,1.096924,1.090536,1.096011,1.096011,0
2023-04-06,1.090334,1.093016,1.088554,1.090334,1.090334,0
2023-04-07,1.092013,1.092538,1.088104,1.092013,1.092013,0
2023-04-10,1.091358,1.091822,1.083248,1.091358,1.091358,0
2023-04-11,1.086933,1.092669,1.086803,1.086933,1.086933,0
2023-04-12,1.091751,1.099856,1.091524,1.091751,1.091751,0
2023-04-13,1.099989,1.106900,1.098165,1.099989,1.099989,0
2023-04-14,1.105461,1.107542,1.097803,1.105461,1.105461,0
2023-04-17,1.098660,1.099904,1.091072,1.098660,1.098660,0
2023-04-18,1.092538,1.098346,1.092275,1.092538,1.092538,0
2023-04-19,1.097538,1.098660,1.091834,1.097538,1.097538,0
2023-04-20,1.095218,1.098901,1.093434,1.095218,1.095218,0
2023-04-21,1.097093,1.099251,1.093972,1.097093,1.097093,0
2023-04-24,1.099227,1.103424,1.096876,1.099227,1.099227,0
2023-04-25,1.105950,1.106807,1.096924,1.105950,1.105950,0
2023-04-26,1.097839,1.109410,1.096924,1.097839,1.097839,0
2023-04-27,1.104728,1.106562,1.099421,1.104728,1.104728,0
2023-04-28,1.103205,1.104374,1.096563,1.103205,1.103205,0
2023-05-01,1.101091,1.103558,1.096696,1.101091,1.101091,0
2023-05-02,1.096924,1.100522,1.094355,1.096924,1.096924,0
2023-05-03,1.101091,1.105816,1.100594,1.101091,1.101091,0
2023-05-04,1.106893,1.109139,1.098684,1.106893,1.106893,0
2023-05-05,1.102293,1.104800,1.097165,1.102293,1.102293,0
2023-05-08,1.101868,1.105339,1.101249,1.101868,1.101868,0
2023-05-09,1.099614,1.100110,1.094403,1.099614,1.099614,0
2023-05-10,1.096467,1.100473,1.094283,1.096467,1.096467,0
2023-05-11,1.098406,1.099868,1.090132,1.098406,1.098406,0
2023-05-12,1.091215,1.093518,1.085564,1.091215,1.091215,0
2023-05-15,1.085270,1.089206,1.084858,1.085270,1.085270,0
2023-05-16,1.087370,1.090358,1.085670,1.087370,1.087370,0
2023-05-17,1.086567,1.087548,1.081163,1.086567,1.086567,0
2023-05-18,1.083835,1.084952,1.076542,1.083835,1.083835,0
2023-05-19,1.077540,1.082392,1.076102,1.077540,1.077540,0
2023-05-22,1.082275,1.083072,1.079657,1.082275,1.082275,0
2023-05-23,1.081105,1.082134,1.076380,1.081105,1.081105,0
2023-05-24,1.076971,1.079937,1.074968,1.076971,1.076971,0
2023-05-25,1.075732,1.075419,1.070996,1.075732,1.075732,0
2023-05-26,1.072444,1.075755,1.070205,1.072444,1.072444,0
2023-05-29,1.072306,1.074576,1.070629,1.072306,1.072306,0
2023-05-30,1.070767,1.074576,1.067338,1.070767,1.070767,0
2023-05-31,1.073307,1.073883,1.065167,1.073307,1.073307,0
2023-06-01,1.069519,1.075400,1.066416,1.069519,1.069519,0
2023-06-02,1.076079,1.077935,1.071811,1.076079,1.076079,0
2023-06-05,1.069862,1.072271,1.067475,1.069862,1.069862,0
2023-06-06,1.071180,1.073307,1.066735,1.071180,1.071180,0
2023-06-07,1.069805,1.074022,1.066883,1.069805,1.069805,0
2023-06-08,1.070744,1.078283,1.070217,1.070744,1.070744,0
2023-06-09,1.078272,1.078749,1.074772,1.078272,1.078272,0
2023-06-12,1.075095,1.078970,1.073434,1.075095,1.075095,0
2023-06-13,1.076299,1.082251,1.076056,1.076299,1.076299,0
2023-06-14,1.078935,1.085835,1.077575,1.078935,1.078935,0
2023-06-15,1.084305,1.093853,1.080427,1.084305,1.084305,0
2023-06-16,1.094595,1.097100,1.092013,1.094595,1.094595,0
2023-06-19,1.094212,1.094931,1.091100,1.094212,1.094212,0
2023-06-20,1.092430,1.094523,1.089455,1.092430,1.092430,0
2023-06-21,1.092037,1.096131,1.090667,1.092037,1.092037,0
2023-06-22,1.099264,1.101115,1.095110,1.099264,1.099264,0
2023-06-23,1.095890,1.095890,1.084505,1.095890,1.095890,0
2023-06-26,1.090667,1.092180,1.088815,1.090667,1.090667,0
2023-06-27,1.091048,1.097610,1.090322,1.091048,1.091048,0
2023-06-28,1.095722,1.096251,1.089966,1.095722,1.095722,0
2023-06-29,1.091584,1.094068,1.086236,1.091584,1.091584,0
2023-06-30,1.086803,1.093374,1.083647,1.086803,1.086803,0
2023-07-03,1.090750,1.093135,1.087181,1.090750,1.090750,0
2023-07-04,1.091310,1.091822,1.089075,1.091310,1.091310,0
2023-07-05,1.088495,1.090620,1.086508,1.088495,1.088495,0
2023-07-06,1.085658,1.090156,1.083435,1.085658,1.085658,0
2023-07-07,1.089064,1.096467,1.086862,1.089064,1.089064,0
2023-07-10,1.096972,1.099276,1.094451,1.096972,1.096972,0
2023-07-11,1.100594,1.102560,1.097864,1.100594,1.100594,0
2023-07-12,1.101406,1.112595,1.101285,1.101406,1.101406,0
2023-07-13,1.114455,1.119620,1.113065,1.114455,1.114455,0
2023-07-14,1.122347,1.124480,1.120611,1.122347,1.122347,0
2023-07-17,1.122776,1.125113,1.120549,1.122776,1.122776,0
